checklist_group,checklist_group_title,control_id,source/status,objective,inputs,owner,evidence,acceptance criterion,gate,closure authority,links,residuals
A.17,"Operational checklist: safety argument, normative status, and IMVV.",SA-01,AMLAS-P1/P2 + E40 requirements + Q80 safety; synthesized. Status: M for safety-relevant use.,"Link hazards and system controls to ML, data, software, integration, and monitoring requirements.",Hazard analysis; system controls; ODD; architecture; allocated ML/software/system requirements; monitoring/fallback concept.,System Safety with Systems Engineering and PA.,Bidirectional hazard-to-requirement-to-evidence links and allocation rationale.,Every safety-relevant hazard/control has complete and configuration-consistent allocations to the evidence chain or an approved rationale.,SRR and PDR; rechecked through AR.,Safety authority.,SC-01; TR-01; DM-01; MV-01; SY-01; DP-05 to DP-07.,"Unallocated controls, assumptions, weak compensating provisions, and incomplete propagation analysis are explicit."
A.17,"Operational checklist: safety argument, normative status, and IMVV.",SA-02,AMLAS assurance argument; ECSS gate allocation adapted. Status: M for Category B and any Category A extension; C otherwise by risk.,Construct an explicit claim-context-assumption-strategy-evidence argument.,Hazards; ODD; requirements; evidence baselines; assumptions; findings; limitations; decision-authority model.,"Safety-case owner with PA, V&V, Engineering, and IMVV input.","Claim/evidence matrix or equivalent argument, contexts, assumptions, defeaters/limitations, findings, and authority record.",Each claim is supported by controlled evidence within its stated context; open defeaters and limitations are visible to the decision authority.,QR and AR.,Designated QR/AR authority.,SA-01; TR-01; MV-07; SY-01; IV-05 to IV-06.,"Unsupported claims, invalidated assumptions, evidence gaps, and scope restrictions remain explicit."
A.17,"Operational checklist: safety argument, normative status, and IMVV.",SA-03,AMLAS risk rationale + Q80 dependability/safety; decision tuple adapted. Status: M when residual safety risk exists.,"Record residual uncertainty, limitations, restrictions, and risk acceptance.",Evidence gaps; anomalies/findings; uncertainty; operational restrictions; compensating provisions; waiver proposals.,Safety/PA prepares; project/customer risk authority decides.,"Residual-risk record linking limitations, restrictions, compensating provisions, waivers, configuration, and sign-off.","Every accepted residual risk is traceable, bounded to a configuration/ODD, and signed by the authorised risk owner.",QR and AR; reopened after a material change or anomaly.,Project/customer risk authority.,FR-05 to FR-06; CM-03; DP-05 to DP-08; IV-06.,"Unknown uncertainty, unverified mitigations, conditional acceptance, and waiver expiry remain visible."
A.17,"Operational checklist: safety argument, normative status, and IMVV.",SA-04,ECSS contractual/tailoring principle; provenance field introduced. Status: M all.,"Mark each control as a contractual requirement, source guidance, or Aerosafe recommendation.",Applicable contractual baseline and tailoring record; cited ECSS/AMLAS clauses; project policies; checklist item.,PA/QA with the process owner.,Completed source/status field citing the exact project clause or documenting guidance/recommendation and tailoring rationale.,No checklist item is presented as normative without an applicable source; every deviation or recommendation has an explicit status and rationale.,Checked at every gate.,Relevant gate authority.,All items; especially Table 7 and project compliance matrix.,"Ambiguous normativity, superseded clauses, contract-specific interpretations, and unresolved tailoring remain explicit."
A.17,"Operational checklist: safety argument, normative status, and IMVV.",IV-01,Q80 6.2.6.13 and 6.3.5.28; AI activation factors adapted. Status: C and risk-triggered.,Decide and plan whether independent V&V is activated for the AI-specific evidence scope.,Criticality and hazard rationale; AI authority; novelty; uncertainty; compensating provisions; contractual needs; assurance plan.,PA/project authority with the proposed IMVV lead.,"ISVV/IMVV activation decision and plan defining scope, roles, inputs, methods, deliverables, interfaces, and finding process.","Activation or non-activation is justified by risk and contract; the approved plan is independent, feasible, and traceable to the assurance scope.",SRR/PDR.,Project/PA authority.,SC-01; FR-01 to FR-02; SA-01; IV-02 to IV-06.,"Unresolved criticality, limited access, resource constraints, or excluded evidence areas are recorded in the plan."
A.17,"Operational checklist: safety argument, normative status, and IMVV.",IV-02,Q80 independent-V&V provisions; three-dimension record introduced. Status: M when IMVV is activated.,Record organisational independence.,Organisation chart; contracts; reporting lines; conflicts; access rights; safeguards against self-approval.,PA/customer authority with IMVV management.,"Independence statement covering reporting, contractual separation, conflicts, access, and escalation routes.",IMVV personnel are not accountable for the development decisions they review and have protected access and escalation channels.,Plan approval at SRR/PDR.,PA/customer authority.,IV-01; IV-04; project RACI/authority matrix.,"Shared management, funding dependence, unavailable expertise, conflicts, and access restrictions are disclosed and mitigated."
A.17,"Operational checklist: safety argument, normative status, and IMVV.",IV-03,Q80 independent-V&V provisions + AMLAS evidence challenge; adapted. Status: M when IMVV is activated.,Record technical independence.,Controlled datasets; scripts/tools; model/software/target artefacts; reproduction plan; sampling strategy; tool access.,IMVV lead with independent CM/QA support.,"Independent baseline, tools/scripts or justified alternatives, reproduction/sampling record, and limits to independence.",The independent team can reproduce or challenge the scoped evidence from controlled inputs without relying solely on developer interpretation.,TRR and QR.,IMVV/PA and designated review authority.,CM-01 to CM-02; MV-02; DP-01 to DP-03; IV-05.,"Unavailable proprietary tools/data, shared scripts, sampling limits, and unreproduced results are recorded."
A.17,"Operational checklist: safety argument, normative status, and IMVV.",IV-04,Q80 finding/independent-review intent; explicit separation introduced. Status: M when IMVV is activated.,Record decisional independence and formal closure authority.,RACI/authority matrix; review plan; finding process; waiver and risk-acceptance rules.,PA/project authority.,"Authority matrix distinguishing evidence owner, reviewer, finding owner, disposition proposer, waiver authority, and formal closer.",No evidence owner can unilaterally close the independent finding or accept its residual risk; escalation and waiver paths are named.,All relevant gates.,Project/customer authority.,FR-01 to FR-06; SA-03; IV-02; IV-06.,"Role overlap, delegated authority, absent customer participation, and emergency dispositions are explicitly controlled."
A.17,"Operational checklist: safety argument, normative status, and IMVV.",IV-05,AMLAS-P1 to P6 + Q80 independent V&V; AI evidence scope introduced/adapted. Status: C according to the IV-01 scope.,Independently challenge the AI-specific evidence chain.,Scoped requirements; ODD; data/labels; model/pipeline; converters; target evidence; interfaces; monitoring; claims and traceability.,IMVV team; developers provide artefacts and responses.,"Independent reviews, reproductions, samples, challenge records, findings, affected configurations/claims, and recommendation.",The approved IMVV scope is covered; departures and unsupported claims are raised as traceable findings rather than silently accepted.,"QR and AR, with earlier reviews as planned.",IMVV reports; designated authority decides.,TR-01; SA-02; MV-07; SV-01; SY-01; DP-01 to DP-08.,"Excluded artefacts, limited samples, unreproduced evidence, unresolved findings, and scope constraints remain visible."
A.17,"Operational checklist: safety argument, normative status, and IMVV.",IV-06,Q80 independent-V&V report/finding provisions; AI claim linkage adapted. Status: M for every raised finding.,Manage IMVV findings to auditable closure.,Finding log; severity; affected configuration/claims; owner; corrective action; retest/review; waiver and closure records.,PA controls the process; action owners respond; IMVV verifies; designated authority closes.,"Finding record, corrective evidence, independent retest/review, disposition, waiver or closure signature, and traceability update.",Every finding has complete provenance and an authorised disposition; a gate cannot close contrary to the applicable project rules.,"Relevant gate, especially QR/AR.",Designated project/customer authority.,TR-01; FR-05 to FR-06; SA-02 to SA-03; CM-03; DP-08.,"Open findings, conditional waivers, incomplete retest, recurring defects, and accepted limitations remain linked to release acceptance."
